Date,S&P GSCI,GPR
01/01/2024,555.0681,156.28
12/01/2023,535.6413,142.07
11/01/2023,555.7702,156.49
10/01/2023,576.9723,197.97
09/01/2023,609.6686,98.84
08/01/2023,591.4241,101.25
07/01/2023,593.4022,107.26
06/01/2023,540.4607,110.57
05/01/2023,528.2247,108.47
04/01/2023,564.9676,106.82
03/01/2023,574.0241,105.39
02/01/2023,581.8661,120.99
01/01/2023,606.0573,104.27
12/01/2022,610.0719,111.2
11/01/2022,621.1091,116.72
10/01/2022,636.8439,143.16
09/01/2022,607.7575,131.99
08/01/2022,665.9277,132.86
07/01/2022,692.6372,117.18
06/01/2022,709.2296,130.71
05/01/2022,786.4548,142.26
04/01/2022,756.7522,191.14
03/01/2022,724.1862,318.95
02/01/2022,673.0487,216.16
01/01/2022,623.7843,138.67
12/01/2021,561.1805,105.35
11/01/2021,522.4443,86.57
10/01/2021,588.2094,79.03
09/01/2021,557.7057,80.7
08/01/2021,527.3677,89.49
07/01/2021,541.129,58.42
06/01/2021,535.9755,74.13
05/01/2021,519.2278,93.01
04/01/2021,505.8542,88.17
03/01/2021,467.414,78.62
02/01/2021,476.9869,73.96
01/01/2021,430.9947,77.42
12/01/2020,409.458,64.07
11/01/2020,385.594,70.07
10/01/2020,340.7799,76.08
09/01/2020,350.178,80.38
08/01/2020,358.2109,65.47
07/01/2020,339.821,66.47
06/01/2020,325.483,71.23
05/01/2020,307.0756,68.51
04/01/2020,257.0446,69.34
03/01/2020,255.5416,81.54
02/01/2020,358.4439,75.96
01/01/2020,388.8018,138.42
12/01/2019,436.2189,74.28
11/01/2019,409.1913,73.08
10/01/2019,407.5104,97.84
09/01/2019,403.6126,90.37
08/01/2019,397.0581,103.4
07/01/2019,422.4391,93.52
06/01/2019,425.3581,106.59
05/01/2019,407.7638,106.47
04/01/2019,446.4518,79.25
03/01/2019,434.1253,82.33
02/01/2019,426.3466,96.8
01/01/2019,407.8907,87.42
12/01/2018,374.3282,90.61
11/01/2018,406.5197,80.41
10/01/2018,456.3168,92.02
09/01/2018,486.2794,75.05
08/01/2018,468.6881,112.74
07/01/2018,464.8324,110.03
06/01/2018,487.4372,103.97
05/01/2018,481.4273,125.67
04/01/2018,475.7616,123.26
03/01/2018,452.9353,111.96
02/01/2018,443.3807,64.49
01/01/2018,456.533,92.43
12/01/2017,442.4357,82.72
11/01/2017,424.2574,92.6
10/01/2017,415.1419,91.46
09/01/2017,399.3082,115.53
08/01/2017,386.0041,138.53
07/01/2017,388.0653,102.81
06/01/2017,372.3775,126.79
05/01/2017,377.8538,102.58
04/01/2017,382.7658,119.46
03/01/2017,388.2245,96.64
02/01/2017,402.2199,114.21
01/01/2017,395.8302,105.2
12/01/2016,398.2039,102.18
11/01/2016,377.2212,82.92
10/01/2016,361.623,85.75
09/01/2016,364.4711,104.55
08/01/2016,348.2078,98.74
07/01/2016,339.3952,114.61
06/01/2016,374.0323,90.17
05/01/2016,370.9456,88.33
04/01/2016,360.407,85.22
03/01/2016,323.4185,109.72
02/01/2016,303.6298,103.75
01/01/2016,300.6679,118.21
12/01/2015,311.6524,148.24
11/01/2015,336.1496,150.72
10/01/2015,363.4441,91.93
09/01/2015,359.3369,98.77
08/01/2015,380.848,82.48
07/01/2015,378.3843,106.81
06/01/2015,440.6926,85.91
05/01/2015,439.0937,76.26
04/01/2015,445.5848,102.19
03/01/2015,396.6492,104.24
02/01/2015,421.2419,111.92
01/01/2015,389.6819,111.99
12/01/2014,418.1225,86.53
11/01/2014,482.1124,84.38
10/01/2014,539.5923,83.66
09/01/2014,574.2939,131.56
08/01/2014,610.9172,136.45
07/01/2014,621.7026,138.75
06/01/2014,658.5723,98.77
05/01/2014,649.6324,83.43
04/01/2014,652.5111,93.22
03/01/2014,648.857,119.84
02/01/2014,649.6444,69
01/01/2014,622.2558,77.92
12/01/2013,632.2858,70.37
11/01/2013,620.117,77.78
10/01/2013,622.5243,72.95
09/01/2013,632.3998,100.46
08/01/2013,657.0511,90.96
07/01/2013,638.6382,73.98
06/01/2013,611.2961,82.97
05/01/2013,615.4581,83.72
04/01/2013,624.435,95.11
03/01/2013,655.0464,75.9
02/01/2013,648.2096,81.59
01/01/2013,675.3659,90.66
12/01/2012,646.5846,74.83
11/01/2012,650.0503,81.39
10/01/2012,637.7365,81.66
09/01/2012,665.7263,69.28
08/01/2012,675.0332,74.88
07/01/2012,635.8224,82.81
06/01/2012,599.4434,77.82
05/01/2012,596.2044,78.17
04/01/2012,684.8785,96.02
03/01/2012,688.7121,88.76
02/01/2012,703.4976,92.45
01/01/2012,660.6774,79.63
12/01/2011,644.9144,85.34
11/01/2011,658.0235,83.16
10/01/2011,647.9552,76.34
09/01/2011,590.9992,83.35
08/01/2011,674.6877,86.95
07/01/2011,686.0772,78.92
06/01/2011,668.8452,84.39
05/01/2011,707.2557,105.34
04/01/2011,758.7948,91.02
03/01/2011,725.6232,136.89
02/01/2011,690.8462,90.01
01/01/2011,655.2648,79.42
12/01/2010,631.8311,97.2
11/01/2010,575.8382,94.71
10/01/2010,564.1603,65.99
09/01/2010,546.0645,71.17
08/01/2010,499.1622,80.99
07/01/2010,524.8087,79.38
06/01/2010,495.1775,96.45
05/01/2010,488.1933,88.96
04/01/2010,549.9413,88.76
03/01/2010,530.1587,74.12
02/01/2010,517.4835,80.73
01/01/2010,486.145,91.58
12/01/2009,524.6207,92.95
11/01/2009,512.5737,82.1
10/01/2009,496.8077,90.58
09/01/2009,462.7484,92.84
08/01/2009,453.787,73.37
07/01/2009,457.407,83.44
06/01/2009,450.2168,81.11
05/01/2009,443.0531,89.68
04/01/2009,365.8484,85.69
03/01/2009,358.5256,72.64
02/01/2009,336.24,67.45
01/01/2009,336.2046,85.37
12/01/2008,349.038,92.37
11/01/2008,390.6464,79.08
10/01/2008,449.461,64.16
09/01/2008,622.2371,88.54
08/01/2008,708.1559,88.55
07/01/2008,760.1992,89.74
06/01/2008,862.809,87.55
05/01/2008,786.5829,72.57
04/01/2008,721.067,71.9
03/01/2008,668.913,77.64
02/01/2008,679.778,80.75
01/01/2008,608.378,81.5
12/01/2007,610.1689,94.97
11/01/2007,577.987,89.8
10/01/2007,599.31,101.47
09/01/2007,546.133,94.49
08/01/2007,495.3045,83.17
07/01/2007,515.941,112.35
06/01/2007,489.152,97.97
05/01/2007,470.648,92.6
04/01/2007,474.4641,76.61
03/01/2007,468.115,87.34
02/01/2007,448.4914,96.17
01/01/2007,427.2178,97.92
12/01/2006,433.6465,90.61
11/01/2006,463.6554,88.78
10/01/2006,429.2243,113.14
09/01/2006,428.0533,111.72
08/01/2006,465.868,147.08
07/01/2006,498.2476,137.13
06/01/2006,484.6753,102.57
05/01/2006,474.5546,85.21
04/01/2006,474.7863,89.02
03/01/2006,442.519,92.8
02/01/2006,415.8627,95.86
01/01/2006,453.9183,94.51
12/01/2005,431.7214,95.35
11/01/2005,415.9086,83.48
10/01/2005,422.8764,87.06
09/01/2005,469.5595,103.81
08/01/2005,465.1507,116.23
07/01/2005,401.999,165.9
06/01/2005,379.7879,81.12
05/01/2005,354.8881,98.21
04/01/2005,353.6854,87.03
03/01/2005,383.6221,90.41
02/01/2005,355.8531,108.98
01/01/2005,331.4828,100.89
12/01/2004,310.4673,109.9
11/01/2004,342.5017,122.71
10/01/2004,355.2492,119.86
09/01/2004,337.7328,153.87
08/01/2004,295.5954,140.37
07/01/2004,307.4776,131.02
06/01/2004,286.3553,137.23
05/01/2004,301.4126,121.09
04/01/2004,289.5122,149.63
03/01/2004,282.1227,138.53
02/01/2004,278.6556,115.08
01/01/2004,260.088,113.47
12/01/2003,260.5434,129.47
11/01/2003,245.8032,118.09
10/01/2003,238.4895,108.32
09/01/2003,232.6344,118.2
08/01/2003,242.459,138.23
07/01/2003,233.1563,134.9
06/01/2003,233.2028,145.77
05/01/2003,235.2415,162.12
04/01/2003,215.6376,255.78
03/01/2003,232.2788,358.71
02/01/2003,278.572,239.61
01/01/2003,253.4514,206.43
12/01/2002,235.1541,175.81
11/01/2002,217.5085,159.13
10/01/2002,217.423,172.03
09/01/2002,227.5257,174.9
08/01/2002,215.2304,127.06
07/01/2002,203.4048,122.78
06/01/2002,202.7765,149.33
05/01/2002,194.2879,163.32
04/01/2002,204.2329,157.5
03/01/2002,201.2279,151.98
02/01/2002,176.5311,146.19
01/01/2002,166.0257,172.48
12/01/2001,169.1572,236.1
11/01/2001,169.575,306.79
10/01/2001,175.3805,512.53
09/01/2001,181.7182,498.65
08/01/2001,203.0028,64.11
07/01/2001,201.72,61.07
06/01/2001,202.6644,72.06
05/01/2001,217.6236,60.38
04/01/2001,224.2305,50.57
03/01/2001,212.7381,61.71
02/01/2001,221.9866,55.09
01/01/2001,226.9736,46.9
12/01/2000,246.9237,45.4
11/01/2000,256.384,45.06
10/01/2000,236.7139,76.46
09/01/2000,237.4833,52.69
08/01/2000,244.3988,46.49
07/01/2000,213.3268,51.9
06/01/2000,235.7137,64.72
05/01/2000,223.2031,79.48
04/01/2000,203.2085,48.68
03/01/2000,206.8815,50.1
02/01/2000,216.0089,63.54
01/01/2000,206.365,64.46
